filename,page_number,sentence,aspect,aspect_category,ontology_uri,sentiment,tone,confidence
sustainability-report-2023.pdf,8,"Stakeholder dialogue is an essential part of the process and KPMG therefore involved both internal and external stakeholders in the process of identifying and assessing impacts, risks and opportunities.",stakeholder engagement,S,SDG10,positive,Action,0.85
sustainability-report-2023.pdf,8,"Social Inclusion, Diversity and Equity initiatives",diversity,S,SDG10,positive,Commitment,0.95
sustainability-report-2023.pdf,9,KPMG Global has science-based targets and KPMG Norway has been committed to these goals and targets since 2019.,environmental targets,E,GRI305,positive,Commitment,0.95
sustainability-report-2023.pdf,9,KPMG Norway acknowledges the need to develop its own targets and aims to get them approved by 2025.,environmental targets,E,GRI305,neutral,Commitment,0.85
sustainability-report-2023.pdf,9,"KPMG Norway has a climate footprint through emissions in Scope 1, 2, and 3 where travel is a large source of emissions.",emissions,E,GRI305,neutral,Action,0.9
sustainability-report-2023.pdf,9,KPMG Norway also generates waste and emissions through the goods and services we buy.,emissions,E,GRI305,neutral,Action,0.85
sustainability-report-2023.pdf,9,The environmental chapter of this report covers our climate footprint and our journey towards getting further climate goals approved by the Science Based Targets Initiative.,climate goals,E,SDG13,positive,Outcome,0.92
sustainability-report-2023.pdf,9,We compensate for our emissions.,emissions,E,GRI305,positive,Outcome,0.93
sustainability-report-2023.pdf,9,Our policy on environmental management ensures systematic efforts to reduce waste and energy use as part of the environmental management system.,waste,E,GRI308,positive,Action,0.91
sustainability-report-2023.pdf,9,"Through the process of environmental certification, we identified environmental improvements relevant to us and developed procedures and processes to implement, achieve, and continuously review our environmental policies.",environmental policies,E,GRI302,positive,Action,0.89
sustainability-report-2023.pdf,9,Our travel policy aims to be a driver for green and environmentally friendly travel that has less negative impact on the environment.,travel policy,E,GRI305,positive,Commitment,0.94
sustainability-report-2023.pdf,9,"KPMG Norway's travel policy was updated in 2023 and ensures all business travel is done in a sustainable, efficient, and safe manner.",travel policy,E,GRI305,positive,Action,0.91
sustainability-report-2023.pdf,9,The policy encourages use of climate-friendly transportation options or use of digital meetings.,travel,E,SDG11,positive,Action,0.87
sustainability-report-2023.pdf,9,The policy instructs that 50% of all board and national management meetings are to be held digitally in order to reduce emissions.,digital meetings,E,SDG9,positive,Outcome,0.88
sustainability-report-2023.pdf,9,A 50% reduction in emissions based on 2019 figures by 2030.,emissions,E,GRI305,positive,Outcome,0.95
sustainability-report-2023.pdf,9,"Individual accountability for climate - on average, a 10% reduction in personal consumption related to work-related travel by 2023 (based on 2019 levels).",travel,E,GRI305,positive,Outcome,0.9
sustainability-report-2023.pdf,9,"Promoting public transportation, increasing the share of public transport.",travel,E,GRI305,positive,Action,0.85
sustainability-report-2023.pdf,9,"Having more digital meetings: By reducing employee travel, we will achieve the requirements in the sustainability plan for 2021-2025.",digital meetings,E,SDG13,positive,Action,0.89
sustainability-report-2023.pdf,9,Environmental chapter covers our climate footprint and journey towards climate goals.,climate footprint,E,SDG13,positive,Outcome,0.92
sustainability-report-2023.pdf,10,"In FY2023 we emitted a total of 1284 tons of CO2 equivalents across scopes 1, 2, and 3. This is an increase of approximately 23 percent compared to FY2022.",emissions,E,GRI305,negative,Outcome,0.8
sustainability-report-2023.pdf,10,There is a slight increase in the use of natural gas for heating from 5.04 in FY2022 to 6.68 tons of CO2 equivalents in FY2023. Only the Haugesund office uses natural gas for heating.,emissions,E,GRI305,negative,Outcome,0.85
sustainability-report-2023.pdf,10,"In total, there was a significant decrease in scope 2 emissions from 112.5 tons of CO2 equivalents in FY2022 to 80.7 in FY2023. This number is based on using a location-based method for measuring electricity emissions.",emissions,E,GRI305,positive,Outcome,0.95
sustainability-report-2023.pdf,10,"This is caused by both a decrease in reported electricity consumption in FY2023, and by using a lower emissions factor.",emissions,E,GRI305,positive,Outcome,0.95
sustainability-report-2023.pdf,10,this was done because the latter emission factor was deemed to be more representative for the Norwegian Power grid.,emissions,E,GRI305,positive,Outcome,0.95
sustainability-report-2023.pdf,10,"In 2022 we used an emission factor ( 0.026 ¥kgCO2e / kWh ) from Cemasys to calculate the emissions from electricity consumption, but for FY2023 we used the emission factor ( 0.019 ¥kgCO2e / kWh ) for average emissions in the Norwegian power grid from NVE (The Norwegian Water Resource and Energy Directorate).",emissions,E,GRI305,positive,Outcome,0.95
sustainability-report-2023.pdf,10,Emissions from district heating decreased from 24 to 15.6 tons of CO2 equivalents from FY2022 to FY2023. This is both due to lower use of district heating in addition to a change in emission factor from ( 0.014 ¥kgCO2e / kwh ) to ( 0.011 ¥kgCO2e / kwh ).,emissions,E,GRI305,positive,Outcome,0.95
sustainability-report-2023.pdf,10,There was a significant decrease in emissions from district cooling from 0.04 tons to 0.037 tons of CO2 equivalents in FY2023.,emissions,E,GRI305,positive,Outcome,0.9
sustainability-report-2023.pdf,10,"In FY2023 we emitted a total of 1196 tons of CO2 equivalents across scopes 1, 2, and 3. This is an increase of approximately 30 percent compared to FY2022.",emissions,E,GRI305,negative,Outcome,0.7
sustainability-report-2023.pdf,10,"Of this, the most substantial increases have been generated from air travel and hotel stays.",emissions,E,GRI305,negative,Outcome,0.8
sustainability-report-2023.pdf,10,"With regards to air travel, there has been an increase from 841.7 tons of CO2 equivalents in FY2022 to 1079 tons in FY2023.",emissions,E,GRI305,negative,Outcome,0.8
sustainability-report-2023.pdf,10,"For hotel stays, the increase was from 8.55 tons of CO2 equivalents in FY2022 to 61.72 tons of CO2 equivalents in FY2023.",emissions,E,GRI305,negative,Outcome,0.7
sustainability-report-2023.pdf,10,"Moreover, there was a decrease in mileage from 55.25 tons of CO2 equivalents in FY2022 to 33.19 tons of CO2 equivalents in FY2023.",emissions,E,GRI305,positive,Outcome,0.85
sustainability-report-2023.pdf,10,"For waste, there was a decrease in emissions from 18.16 tons of CO2 equivalents in FY2022 to 18.06 tons in FY2023.",emissions,E,GRI305,positive,Outcome,0.7
sustainability-report-2023.pdf,12,We reduced emissions through digital meetings and teleconferencing,emissions,E,GRI305,positive,Outcome,0.95
sustainability-report-2023.pdf,12,Increased use of digital tools reduces business travel emissions,emissions reduction,E,GRI305,positive,Action,0.9
sustainability-report-2023.pdf,12,Implemented policy requiring digital meetings over travel,travel policy,E,GRI305,positive,Action,0.93
sustainability-report-2023.pdf,12,Increased web conferencing usage lowers carbon footprint,emissions reduction,E,GRI305,positive,Outcome,0.92
sustainability-report-2023.pdf,12,Commit to SBTi net-zero standard for climate targets,climate targets,E,"GRI305,SDG13",positive,Action,0.9
sustainability-report-2023.pdf,12,Shift strategic focus to direct emissions reduction not offsets,emissions management,E,GRI305,positive,Action,0.85
sustainability-report-2023.pdf,12,Revise approach from carbon offsetting to internal reduction,emission compensation,E,"GRI305,SDG13",positive,Action,0.88
sustainability-report-2023.pdf,12,Fossagrim preserves forests for carbon sequestration and biodiversity,forest preservation,E,"GRI306,SDG15",positive,Action,0.95
sustainability-report-2023.pdf,12,Protecting forests halts ecosystem degradation,biodiversity,E,"GRI306,SDG15",positive,Outcome,0.88
sustainability-report-2023.pdf,12,Ensuring additionality in forest conservation efforts,forest preservation,E,"GRI306,SDG15",neutral,Challenge,0.75
sustainability-report-2023.pdf,12,Carbon market pricing replaced by cost-based pricing,climate finance,E,SDG13,positive,Outcome,0.9
sustainability-report-2023.pdf,12,Support innovation through fair carbon pricing mechanisms,climate innovation,E,SDG13,positive,Action,0.85
sustainability-report-2023.pdf,12,Prioritize environmental/ social/ governance initiatives,diversity and equity,S,"GRI403,GRI307,SDG5,SDG10",positive,Action,0.8
sustainability-report-2023.pdf,13,84.5 percent of average annual tree felling is carried out on forest properties owned by such individual families.,timber management,G,GRI303,neutral,Action,0.85
sustainability-report-2023.pdf,13,"For many of these families, choosing to let a forest area stay untouched has significant negative impact and is regarded as irresponsible stewardship of generational resources.",forest preservation,E,GRI307,negative,Outcome,0.92
sustainability-report-2023.pdf,13,Fossagrim has developed a framework that allows forests to be valued beyond their real estate and timber values.,carbon sequestration,E,GRI305,positive,Action,0.95
sustainability-report-2023.pdf,13,The solution... considers their capacities to sequester CO2...,CO2 sequestration,E,GRI305,positive,Action,0.97
sustainability-report-2023.pdf,13,Fossagrim... generating high long-term value for current and coming generations.,biodiversity preservation,E,GRI304,positive,Outcome,0.93
sustainability-report-2023.pdf,13,Fossagrim... compensation based on the real market value of the resources and areas.,carbon markets,G,GRI305,positive,Action,0.88
sustainability-report-2023.pdf,13,Fossagrim... provides assurance of permanence for the investor.,carbon storage,E,GRI309,positive,Action,0.94
sustainability-report-2023.pdf,13,KPMG has purchased credits ensuring that a mature and highly valuable forest in Seljord is now dedicated to preservation instead of harvesting.,forest preservation,E,GRI307,positive,Action,0.96
sustainability-report-2023.pdf,13,Kvistaul will act as a carbon sink and can... sequester more and more carbon in the ecosystem for hundreds of years.,CO2 sequestration,E,GRI305,positive,Outcome,0.98
sustainability-report-2023.pdf,13,The family... committed to contractual restrictions on harvesting...,supply chain management,G,GRI302,positive,Commitment,0.91
sustainability-report-2023.pdf,13,KPMG has contributed to the reduction of greenhouse gases...,carbon emissions,E,GRI305,positive,Action,0.99
sustainability-report-2023.pdf,13,The long-term effect is recalculated to an annual climate benefit... estimated to 187 t CO2e.,carbon accounting,E,GRI305,positive,Outcome,0.95
sustainability-report-2023.pdf,13,A message from our CEO... we are perhaps even more enthusiastic about supporting the launch of a new solution...,corporate initiatives,G,GRI303,neutral,Action,0.87
sustainability-report-2023.pdf,13,Double materiality assessment in progress.,reporting practices,G,GRI301,neutral,Commitment,0.82
sustainability-report-2023.pdf,13,"Environment Social Inclusion, Diversity and Equity initiatives Governance",social inclusion,S,GRI303,neutral,Commitment,0.89
sustainability-report-2023.pdf,13,"Environment Social Inclusion, Diversity and Equity initiatives Governance",diversity and equity,S,GRI305,neutral,Commitment,0.85
sustainability-report-2023.pdf,15,We continuously and systematically examine our influence on others and address areas of improvement.,impact management,S,GRI405,positive,Commitment,0.85
sustainability-report-2023.pdf,15,"Through our double materiality assessment, we are currently gaining more insight into our value chain and stakeholders that are or might be affected by our activities.",stakeholder impact,G,GRI101,neutral,Action,0.9
sustainability-report-2023.pdf,15,"We place a high priority on acquiring new skills across multiple disciplines to adapt and grow, as part of a lifetime of learning.",workforce development,S,GRI307,positive,Action,0.8
sustainability-report-2023.pdf,15,We encourage our people to bring their unique experiences and perspectives to deliver insights and innovation.,diversity and inclusion,S,GRI307,positive,Commitment,0.88
sustainability-report-2023.pdf,15,We listen to our people by giving everyone an opportunity to share their views in our annual global engagement survey and targeted pulse surveys.,employee engagement,S,GRI403,positive,Action,0.92
sustainability-report-2023.pdf,15,Our employees value learning and developing their careers as well as the social aspects of working in KPMG.,workforce development,S,SDG8,positive,Outcome,0.91
sustainability-report-2023.pdf,15,KPMG's primary occupational health risks relate to stress management and various strain injuries.,occupational health,S,SDG8,neutral,Outcome,0.75
sustainability-report-2023.pdf,15,We continuously work towards better gender balance.,gender equality,S,SDG5,positive,Action,0.83
sustainability-report-2023.pdf,16,We have also committed to the UN Global Compact and annually deliver a Communication on Progress (COP) for various sustainability indicators.,governance,G,SDG17,positive,Commitment,0.95
sustainability-report-2023.pdf,16,Our Code of Conduct defines the standard for ethical behavior of all employees within KPMG.,ethics,G,GRI203,positive,Action,0.92
sustainability-report-2023.pdf,16,"At KPMG, there is a zero tolerance for discrimination, bullying, and harassment.",diversity,S,GRI401,positive,Outcome,0.94
sustainability-report-2023.pdf,16,We value diverse experiences and new perspectives and believe that they contribute to better solutions both for us and our customers.,diversity,S,SDG5,positive,Outcome,0.91
sustainability-report-2023.pdf,16,Our IDE-policy puts a particular focus on promoting diversity and preventing discrimination in all our people processes.,diversity,S,GRI401,positive,Commitment,0.93
sustainability-report-2023.pdf,16,"We systematically address health, safety and environment (HSE) issues to ensure a healthy physical and psychosocial work environment.",Health and Safety,E,GRI306,neutral,Action,0.88
sustainability-report-2023.pdf,16,"We integrate HSE into all company activities, focusing on preventing sick leave and accommodating those with special needs.",health,S,GRI306,positive,Action,0.9
sustainability-report-2023.pdf,16,We regularly monitor and map the physical and psychosocial work environment to ensure that we prioritize the best preventive measures.,safety,S,GRI306,neutral,Outcome,0.89
sustainability-report-2023.pdf,16,"All employees at KPMG are also covered by our insurance agreements, giving them access to use physical and psychological health support.",health,S,GRI306,positive,Action,0.87
sustainability-report-2023.pdf,16,"The annual Global People Survey (GPS) addresses various categories such as diversity, inclusion, well-being, learning and leadership.",employee satisfaction,S,GRI403,positive,Outcome,0.86
sustainability-report-2023.pdf,16,"The committee has among other topics discussed issues regarding work-life balance and working time, arrangements for parents.",work-life balance,S,GRI403,positive,Action,0.85
sustainability-report-2023.pdf,16,KPMG established the Next Generation Sounding Board 2021 to get a better understanding of challenges ahead and a more diverse mindset.,leadership,S,GRI401,positive,Action,0.83
sustainability-report-2023.pdf,16,"As a minimum, all employees have conversations with their respective performance manager quarterly.",employee development,S,GRI403,positive,Action,0.84
sustainability-report-2023.pdf,17,"Employees are given the opportunity to give and receive feedback, update, or redefine development goals, or just have a casual check-in.",employee development,S,GRI403,neutral,Action,0.75
sustainability-report-2023.pdf,17,"Ethics and integrity are ingrained in our core, with yearly mandatory trainings.",ethics and integrity,G,GRI405,positive,Commitment,0.95
sustainability-report-2023.pdf,17,Employees are strongly encouraged to speak up if they become aware of anything that makes them feel uncomfortable or that is not in line with our ethical guidelines or values.,whistleblower protection,G,GRI407,positive,Commitment,0.95
sustainability-report-2023.pdf,17,"KPMG Norway has established clearly defined channels that KPMG employees and third parties can use to inquire, raise concerns, provide feedback, and report possible misconduct, without fear of retaliation.",whistleblower channels,G,GRI308,positive,Action,0.95
sustainability-report-2023.pdf,17,"KPMG supports and encourages employees to get involved in physical activity through our employee-run sports club, KPMG Puls.",employee health initiatives,S,GRI403,positive,Action,0.85
sustainability-report-2023.pdf,17,The option to work part-time is offered as part of our accommodation for employees in different life stages.,part-time employment accommodation,S,GRI403,positive,Action,0.95
sustainability-report-2023.pdf,17,None of the respondents were involuntarily in such positions.,involuntary part-time work,S,GRI403,positive,Outcome,0.98
sustainability-report-2023.pdf,17,"2022, we analyzed whether any of our employees were involuntarily working part-time positions",employee survey practices,S,GRI403,positive,Action,0.95
sustainability-report-2023.pdf,17,The total turnover for KPMG AS were 15.4%: 15.9% for men and 14.7% for women.,employee turnover,S,GRI403,neutral,Outcome,0.95
sustainability-report-2023.pdf,18,KPMG has a goal of achieving a 50% gender balance across the company.,gender balance,S,GRI401,positive,Commitment,0.95
sustainability-report-2023.pdf,18,"We are experiencing the largest gaps between female and male employees at senior levels, while there is a relatively equal distribution at both Associate, Senior Associate and Manager levels.",gender balance,S,GRI401,negative,Outcome,0.85
sustainability-report-2023.pdf,18,KPMG is actively working to enhance the gender balance in leading positions at Director- and Partner levels.,gender balance,S,GRI401,positive,Action,0.95
sustainability-report-2023.pdf,18,KPMG's goal is to achieve 30% female partners by 2030.,gender balance,S,GRI401,positive,Outcome,0.95
sustainability-report-2023.pdf,18,We regularly monitor wage equality within the organization.,wage equality,S,GRI405,positive,Action,0.95
sustainability-report-2023.pdf,18,The results are demonstrated in the table below.,wage equality,S,GRI405,neutral,Outcome,0.85
sustainability-report-2023.pdf,18,Gender disparities become more pronounced when considering overtime and bonuses.,wage equality,S,GRI405,negative,Outcome,0.9
sustainability-report-2023.pdf,18,"Men work more overtime than women at the Associate and Senior Associate levels, resulting in higher overtime payouts.",wage equality,S,GRI405,negative,Outcome,0.95
sustainability-report-2023.pdf,18,Women are on average rewarded with a lower bonus than men.,wage equality,S,GRI405,negative,Outcome,0.9
sustainability-report-2023.pdf,18,At KPMG AS there are no noticeable disparities in base wage between men and women in FY23.,wage equality,S,GRI405,positive,Outcome,0.95
sustainability-report-2023.pdf,20,"KPMG believes that Diversity, Equity & Inclusion (IDE) underpins our Values and is vital to our Purpose; to Inspire Confidence and Empower Change, and we work hard to create a safe and inclusive work environment that is free from harassment, intimidation, bullying, and discrimination.","Inclusion, Diversity, and Equity (IDE)",S,GRI305,positive,Commitment,0.95
sustainability-report-2023.pdf,20,"we work hard to create a safe and inclusive work environment that is free from harassment, intimidation, bullying, and discrimination.",Safe and Inclusive Work Environment,S,GRI305,positive,Commitment,0.9
sustainability-report-2023.pdf,20,"This year, we have carried out a range of activities and implemented various initiatives to increase focus and support around IDE.",IDE Initiatives,S,GRI305,positive,Action,0.9
sustainability-report-2023.pdf,20,These initiatives play a pivotal role in empowering our employees in becoming agents of change.,Employee Empowerment,S,SDG8,positive,Action,0.85
sustainability-report-2023.pdf,20,International Women's Day [...] we wanted to shed light on the fact that nearly 40 % of our female employees quit after advancing into leader roles.,Female Leadership Retention,S,GRI305,negative,Outcome,0.7
sustainability-report-2023.pdf,20,"we need to measure not only our successes, but also our failures. In this particular place, we need to understand why female leaders resign, at what stage in their career they do so and what we can do to change this pattern.",IDEA Progress Measurement,S,GRI305,positive,Action,0.75
sustainability-report-2023.pdf,20,"As our employees are our number one priority, this is of paramount importance to KPMG.",Employee-Centric Prioritization,S,SDG8,positive,Commitment,0.85
sustainability-report-2023.pdf,21,"Together with our Nordic network we had our second Nordic KPMG Inclusion, Diversity & Equity Summit in 2023.",diversity,S,GRI307-1,positive,Commitment,0.88
sustainability-report-2023.pdf,21,We marked and celebrated Pride across our locations with various initiatives aimed at creating awareness and engagement and educating our colleagues.,workplace diversity,S,GRI307-2,positive,Action,0.92
sustainability-report-2023.pdf,21,"We provided learning resources, handed out questions for reflection on all our locations, arranged an afterwork with a lecture on diversity, as well as a panel debate on Pride.",diversity education,S,GRI307-2,positive,Action,0.89
sustainability-report-2023.pdf,21,"We used our internal channels (KPMG Live, intranet, offices, and information screens) to share knowledge across our firm.",DII initiatives,S,GRI307-1,positive,Action,0.87
sustainability-report-2023.pdf,21,We changed our logo and flag to show our support to the LGBTQ+ society.,LGBTQ+ support,S,GRI307-2,positive,Action,0.93
sustainability-report-2023.pdf,21,We marked the International Day of Persons with Disabilities with a video where three of our colleagues spoke about their disabilities.,disability inclusion,S,GRI307-3,positive,Action,0.89
sustainability-report-2023.pdf,21,Our goal with these videos was to raise awareness about various visible and invisible challenges people face.,disability awareness,S,GRI307-3,positive,Commitment,0.86
sustainability-report-2023.pdf,21,We marked the World Mental Health Day by sharing e-learnings and insights on how you can be a good colleague to coworkers who are struggling.,mental health support,S,GRI307-4,positive,Action,0.91
sustainability-report-2023.pdf,21,The aim of our work was to reduce stigma concerning a topic that is increasingly prevalent in society.,mental health stigma reduction,S,GRI307-4,positive,Commitment,0.88
sustainability-report-2023.pdf,21,We regularly invite employees who are on parental leave to an event where they can bring their children to a networking gathering at our premises.,parental leave support,S,GRI307-5,positive,Commitment,0.85
sustainability-report-2023.pdf,21,"KPMG is a collaboration partner on Women's Board Award, an event that aims to elevate female board members and inspire more women to seek participation in boards.",leadership diversity,G,GRI301-2,positive,Action,0.9
sustainability-report-2023.pdf,21,The award ceremony was held at Colosseum Kino in Oslo and focused on mental health and importance of promoting and ensuring both physical and mental health amongst the companies' employees.,workplace well-being,S,GRI307-4,positive,Action,0.87
sustainability-report-2023.pdf,21,Double materiality assessment in progress,double materiality,G,GRI303-1,neutral,Commitment,0.75
sustainability-report-2023.pdf,22,Seema was founded to set up a national standard and certification in diversity leadership.,diversity,S,GRI405,positive,Commitment,0.95
sustainability-report-2023.pdf,22,Seema offers a variety of methods and tools that guide us in our IDE efforts.,diversity,S,GRI405,positive,Action,0.92
sustainability-report-2023.pdf,22,KPMG's collaboration with Seema is strategically important to change culture and mindset in our organization.,diversity,S,GRI405,positive,Action,0.94
sustainability-report-2023.pdf,22,WBA aims to identify and promote female board members with the potential to become board chairs in larger companies.,diversity,S,GRI405,positive,Outcome,0.93
sustainability-report-2023.pdf,22,KPMG's partnership with WBA is important due to its strategic priority of gender balance in leadership positions.,diversity,S,GRI405,positive,Commitment,0.91
sustainability-report-2023.pdf,22,"In October 2022, we hosted the Board Member of the Year award, celebrating female role models.",diversity,S,GRI405,positive,Outcome,0.89
sustainability-report-2023.pdf,22,KPMG acknowledges responsibility to promote respect for fundamental human rights and decent working conditions in its value chain.,human rights,S,GRI403,neutral,Commitment,0.88
sustainability-report-2023.pdf,22,KPMG must set high standards to address human rights risks in its supply chain.,human rights,S,GRI403,positive,Action,0.9
sustainability-report-2023.pdf,22,KPMG conducts human rights due diligence assessments to identify suppliers with potential risks.,human rights,S,GRI403,positive,Action,0.87
sustainability-report-2023.pdf,22,KPMG plans to strengthen efforts to handle severe impacts on human rights and working conditions.,human rights,S,GRI403,positive,Commitment,0.85
sustainability-report-2023.pdf,22,KPMG's Supplier Code of Conduct aligns with OECD guidelines and ILO's core conventions on decent work.,decent work,S,GRI405,neutral,Commitment,0.89
sustainability-report-2023.pdf,22,KPMG's anti-money laundering and corruption program ensures professional integrity.,corruption,G,GRI202,positive,Action,0.95
sustainability-report-2023.pdf,22,KPMG's Code of Conduct defines ethical standards for all employees.,ethical conduct,G,GRI302,positive,Commitment,0.92
sustainability-report-2023.pdf,23,We have a risk-based approach to our work on human rights due diligence.,supply chain risk management,S,GRI403,positive,Commitment,0.9
sustainability-report-2023.pdf,23,"We categorize suppliers into low, medium, and high risk.",supply chain risk categorization,S,GRI405,positive,Action,0.9
sustainability-report-2023.pdf,23,We define relevant measures tailored to the level of risk.,risk mitigation,S,GRI403,positive,Action,0.85
sustainability-report-2023.pdf,23,Stakeholder dialogue is essential to identify and address potential adverse impacts.,stakeholder engagement,S,GRI404,positive,Action,0.88
sustainability-report-2023.pdf,23,We consider our leverage in risk mitigation actions.,leverage-based risk mitigation,S,GRI405,positive,Commitment,0.85
sustainability-report-2023.pdf,23,We are continuously working to enhance our insights into working conditions within our supply chain.,supply chain transparency,S,GRI403,positive,Outcome,0.9
sustainability-report-2023.pdf,23,We prioritize efforts to integrate supplier risk assessments into the ERP system.,ESG risk assessment integration,S,GRI405,positive,Action,0.92
